Species,Date,Year,Observer,Site name (standardized),Locality,County,Habitat,Ecoregion (Level III),Basin (HUC6),Subbasin (HUC8),Watershed (HUC10),Subwatershed (HUC12),Sky Island complex,Elevation,Land manager,Admin unit,Protected Area,Lat,Long,Accuracy,Georeference notes,TRS,No. observed,Source,Institution,Notes, , , , , , , , , , , , , , , , , 
Bicellonycha wickershamorum wickershamorum,10 July 1954,1954,G. D. Butler,Canelo,Canelo,Santa Cruz,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Babocomari River,San Pedro / Willcox Playa / Rio Yaqui,Huachuca-Patagonia,5100',Private?,N/A,N/A,31.5429,-110.5138,High,Manuscripted by C. Fallon; confirmed by J. Cicero,T22S R18E S4,few,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,16 February 1969,1969,J. C. Bequaert,Babocomari Canyon,"Mustang Mountains, S. slope, E. of Elgin, Babocomari Canyon",Cochise,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Babocomari River,San Pedro / Willcox Playa / Rio Yaqui,N/A,5000',Private,N/A,N/A,31.63489,-110.439716,Medium,Manuscripted by C. Fallon,T21S R19E S5,,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,29 June 1973,1973,Scott McCleve,San Pedro River,"San Pedro R near Fairbanks, AZ",Cochise,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Clifford Wash-San Pedro River,San Pedro / Willcox Playa / Rio Yaqui,N/A,3800',Bureau of Land Management,Gila BLM District,San Pedro Riparian,31.7249345,-110.193857,Medium,Manuscripted by C. Fallon,T20S R21E S3,,UA Insect Collection,University of Arizona,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,13 July 1974,1974,G. Constanz,Monkey Spring,"4.2 mi. SW Sonoita, Monkey Spring",Santa Cruz,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,Sonoita Creek,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,4600',Private?,N/A,N/A,31.63371,-110.70335,High,Manuscripted by J. Cicero,T21S R16E S4,,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,25 July 1977,1977,Joe Cicero,Parker Canyon,"Huachuca Mountains, Parker Canyon nr. Parker Ranch",Cochise,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,5500',US Forest Service,Coronado NF,N/A,31.446944,-110.447778,Medium,Manuscripted by J. Cicero,T23S R19E S7,few,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,24 June 1978,1978,M. Hetz and J. Cummings,Sunnyside Canyon,"Huachuca Mountains, Sunnyside Canyon",Cochise,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,N/A,5652',US Forest Service,Coronado NF,N/A,31.427956,-110.417817,Medium,Manuscripted by C. Fallon,T23S R19E S16,few,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,10 June 1980,1980,Joe Cicero,Wickersham house,"4.8 mi W Fairbank, 0.8 mi S on Sanders Rd to the Babocomari River (Wickersham house)",Cochise,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Babocomari River,San Pedro / Willcox Playa / Rio Yaqui,N/A,4000',Bureau of Land Management,Gila BLM District,San Pedro Riparian,31.695,-110.239722,High,Provided by observer,T20S R21E S18,hundreds,"Cicero, 1982",Cornell University (CU Type #5582),Type locality; presumed extirpated,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,13 June 1980,1980,R. and A. Weich,Scotia Canyon,"Huachuca Mountains, Scotia Canyon",Cochise,,Madrean Archipelago,Santa Cruz River Basin,Upper Santa Cruz,San Rafael Valley-Santa Cruz River,Santa Cruz / Rio Magdalena / Rio Sonoita,Huachuca-Patagonia,5700',US Forest Service,Coronado NF,N/A,31.44692,-110.40157,High,Manuscripted by J. Cicero,T23S R19E S16,hundreds,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum wickershamorum,5 July 1980,1980,Joe Cicero,Bear Canyon,"Huachuca Mountains, Bear Canyon",Cochise,,Madrean Archipelago,San Pedro River Basin,Upper San Pedro,Headwaters Las Nutrias,San Pedro / Willcox Playa / Rio Yaqui,Huachuca-Patagonia,5500',US Forest Service,Coronado NF,N/A,31.37477,-110.35716,High,Manuscripted by J. Cicero,T23S R19E S36,few,"Cicero, 1982",,,,,,,,,,,,,,,,,,,
Bicellonycha wickershamorum piceum,6 June 1981,1981,M. W. Sanderson,Sycamore Creek,"Sycamore Cr Rd, SE Cp. Verde",Yavapai,UV light,Arizona/New Mexico Mountains,Verde Basin,,,,N/A,,Unknown,,Unknown,34.463265,-111.715264,Low,Manuscripted by A. Walker,,,UA Insect Collection,University of Arizona,Location description is vague but this area seems promising,,,,,,,,,,,,,,,,,
