"Plot Title: HOBO_4"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20188487, SEN S/N: 20188487)","Intensity, lum/ft² (LGR S/N: 20188487, SEN S/N: 20188487)","Coupler Attached (LGR S/N: 20188487)","Host Connected (LGR S/N: 20188487)","Stopped (LGR S/N: 20188487)","End Of File (LGR S/N: 20188487)"
1,05/29/24 07:00:00 PM,79.853,168.0,,,,
2,05/29/24 07:15:00 PM,76.703,58.0,,,,
3,05/29/24 07:30:00 PM,74.446,15.0,,,,
4,05/29/24 07:45:00 PM,72.199,0.0,,,,
5,05/29/24 08:00:00 PM,69.793,0.0,,,,
6,05/29/24 08:15:00 PM,67.221,0.0,,,,
7,05/29/24 08:30:00 PM,64.481,0.0,,,,
8,05/29/24 08:45:00 PM,61.398,0.0,,,,
9,05/29/24 09:00:00 PM,58.820,0.0,,,,
10,05/29/24 09:15:00 PM,56.923,0.0,,,,
11,05/29/24 09:30:00 PM,57.096,0.0,,,,
12,05/29/24 09:45:00 PM,62.083,0.0,,,,
13,05/29/24 10:00:00 PM,60.024,0.0,,,,
14,05/29/24 10:15:00 PM,58.647,0.0,,,,
15,05/29/24 10:30:00 PM,56.057,0.0,,,,
16,05/29/24 10:45:00 PM,54.147,0.0,,,,
17,05/29/24 11:00:00 PM,55.364,0.0,,,,
18,05/29/24 11:15:00 PM,54.322,0.0,,,,
19,05/29/24 11:30:00 PM,53.973,0.0,,,,
20,05/29/24 11:45:00 PM,52.050,0.0,,,,
21,05/30/24 12:00:00 AM,52.750,0.0,,,,
22,05/30/24 12:15:00 AM,50.995,0.0,,,,
23,05/30/24 12:30:00 AM,50.819,0.0,,,,
24,05/30/24 12:45:00 AM,49.582,0.0,,,,
25,05/30/24 01:00:00 AM,48.339,0.0,,,,
26,05/30/24 01:15:00 AM,47.982,0.0,,,,
27,05/30/24 01:30:00 AM,48.160,0.0,,,,
28,05/30/24 01:45:00 AM,48.160,0.0,,,,
29,05/30/24 02:00:00 AM,47.982,0.0,,,,
30,05/30/24 02:15:00 AM,47.266,0.0,,,,
31,05/30/24 02:30:00 AM,45.828,0.0,,,,
32,05/30/24 02:45:00 AM,44.922,0.0,,,,
33,05/30/24 03:00:00 AM,44.013,0.0,,,,
34,05/30/24 03:15:00 AM,43.466,0.0,,,,
35,05/30/24 03:30:00 AM,43.099,0.0,,,,
36,05/30/24 03:45:00 AM,42.363,0.0,,,,
37,05/30/24 04:00:00 AM,42.179,0.0,,,,
38,05/30/24 04:15:00 AM,41.994,0.0,,,,
39,05/30/24 04:30:00 AM,42.179,0.0,,,,
40,05/30/24 04:45:00 AM,41.994,0.0,,,,
41,05/30/24 05:00:00 AM,41.625,1.0,,,,
42,05/30/24 05:15:00 AM,41.067,14.0,,,,
43,05/30/24 05:30:00 AM,41.067,42.0,,,,
44,05/30/24 05:45:00 AM,41.625,84.0,,,,
45,05/30/24 06:00:00 AM,42.179,160.0,,,,
46,05/30/24 06:15:00 AM,48.517,704.0,,,,
47,05/30/24 06:30:00 AM,52.576,672.0,,,,
48,05/30/24 06:45:00 AM,60.712,800.0,,,,
49,05/30/24 07:00:00 AM,63.626,896.0,,,,
50,05/30/24 07:15:00 AM,69.449,800.0,,,,
51,05/30/24 07:30:00 AM,70.995,864.0,,,,
52,05/30/24 07:45:00 AM,73.753,1600.0,,,,
53,05/30/24 08:00:00 AM,74.964,864.0,,,,
54,05/30/24 08:15:00 AM,77.225,2304.0,,,,
55,05/30/24 08:30:00 AM,77.574,992.0,,,,
56,05/30/24 08:45:00 AM,77.225,896.0,,,,
57,05/30/24 09:00:00 AM,78.800,1856.0,,,,
58,05/30/24 09:15:00 AM,79.678,1024.0,,,,
59,05/30/24 09:30:00 AM,80.382,1728.0,,,,
60,05/30/24 09:45:00 AM,82.508,11776.0,,,,
61,05/30/24 10:00:00 AM,86.641,7936.0,,,,
62,05/30/24 10:15:00 AM,88.466,12800.0,,,,
63,05/30/24 10:30:00 AM,90.495,8704.0,,,,
64,05/30/24 10:45:00 AM,85.194,992.0,,,,
65,05/30/24 11:00:00 AM,85.194,960.0,,,,
66,05/30/24 11:15:00 AM,83.399,2176.0,,,,
67,05/30/24 11:30:00 AM,86.097,15872.0,,,,
68,05/30/24 11:45:00 AM,105.370,10240.0,,,,
69,05/30/24 12:00:00 PM,89.384,1152.0,,,,
70,05/30/24 12:15:00 PM,86.097,2048.0,,,,
71,05/30/24 12:30:00 PM,88.466,1088.0,,,,
72,05/30/24 12:45:00 PM,88.282,2048.0,,,,
73,05/30/24 01:00:00 PM,87.552,1216.0,,,,
74,05/30/24 01:15:00 PM,87.733,1088.0,,,,
75,05/30/24 01:30:00 PM,88.833,1152.0,,,,
76,05/30/24 01:45:00 PM,88.466,2944.0,,,,
77,05/30/24 02:00:00 PM,93.304,8704.0,,,,
78,05/30/24 02:15:00 PM,98.110,14848.0,,,,
79,05/30/24 02:30:00 PM,105.994,11776.0,,,,
80,05/30/24 02:45:00 PM,99.687,1408.0,,,,
81,05/30/24 03:00:00 PM,95.207,4096.0,,,,
82,05/30/24 03:15:00 PM,93.873,1280.0,,,,
83,05/30/24 03:30:00 PM,95.400,4352.0,,,,
84,05/30/24 03:45:00 PM,101.082,10752.0,,,,
85,05/30/24 04:00:00 PM,110.482,15360.0,,,,
86,05/30/24 04:15:00 PM,116.100,13824.0,,,,
87,05/30/24 04:30:00 PM,117.262,14336.0,,,,
88,05/30/24 04:45:00 PM,118.441,13312.0,,,,
89,05/30/24 05:00:00 PM,115.637,11776.0,,,,
90,05/30/24 05:15:00 PM,113.814,10752.0,,,,
91,05/30/24 05:30:00 PM,115.178,9216.0,,,,
92,05/30/24 05:45:00 PM,116.796,7680.0,,,,
93,05/30/24 06:00:00 PM,99.093,512.0,,,,
94,05/30/24 06:15:00 PM,89.755,2176.0,,,,
95,05/30/24 06:30:00 PM,90.680,1088.0,,,,
96,05/30/24 06:45:00 PM,85.554,352.0,,,,
97,05/30/24 07:00:00 PM,80.735,184.0,,,,
98,05/30/24 07:15:00 PM,78.624,60.0,,,,
99,05/30/24 07:30:00 PM,75.312,17.0,,,,
100,05/30/24 07:45:00 PM,73.407,1.0,,,,
101,05/30/24 08:00:00 PM,72.891,0.0,,,,
102,05/30/24 08:15:00 PM,72.545,0.0,,,,
103,05/30/24 08:30:00 PM,71.856,0.0,,,,
104,05/30/24 08:45:00 PM,69.622,0.0,,,,
105,05/30/24 09:00:00 PM,70.137,0.0,,,,
106,05/30/24 09:15:00 PM,68.077,0.0,,,,
107,05/30/24 09:30:00 PM,64.652,0.0,,,,
108,05/30/24 09:45:00 PM,61.054,0.0,,,,
109,05/30/24 10:00:00 PM,58.476,0.0,,,,
110,05/30/24 10:15:00 PM,56.750,0.0,,,,
111,05/30/24 10:30:00 PM,56.404,0.0,,,,
112,05/30/24 10:45:00 PM,54.495,0.0,,,,
113,05/30/24 11:00:00 PM,52.576,0.0,,,,
114,05/30/24 11:15:00 PM,53.100,0.0,,,,
115,05/30/24 11:30:00 PM,53.100,0.0,,,,
116,05/30/24 11:45:00 PM,52.401,0.0,,,,
117,05/31/24 12:00:00 AM,51.523,0.0,,,,
118,05/31/24 12:15:00 AM,51.172,0.0,,,,
119,05/31/24 12:30:00 AM,50.290,0.0,,,,
120,05/31/24 12:45:00 AM,49.759,0.0,,,,
121,05/31/24 01:00:00 AM,49.937,0.0,,,,
122,05/31/24 01:15:00 AM,50.466,0.0,,,,
123,05/31/24 01:30:00 AM,49.937,0.0,,,,
124,05/31/24 01:45:00 AM,48.871,0.0,,,,
125,05/31/24 02:00:00 AM,47.624,0.0,,,,
126,05/31/24 02:15:00 AM,47.624,0.0,,,,
127,05/31/24 02:30:00 AM,47.802,0.0,,,,
128,05/31/24 02:45:00 AM,47.446,0.0,,,,
129,05/31/24 03:00:00 AM,46.728,0.0,,,,
130,05/31/24 03:15:00 AM,47.088,0.0,,,,
131,05/31/24 03:30:00 AM,47.802,0.0,,,,
132,05/31/24 03:45:00 AM,47.802,0.0,,,,
133,05/31/24 04:00:00 AM,47.088,0.0,,,,
134,05/31/24 04:15:00 AM,45.648,0.0,,,,
135,05/31/24 04:30:00 AM,45.104,0.0,,,,
136,05/31/24 04:45:00 AM,44.560,0.0,,,,
137,05/31/24 05:00:00 AM,44.013,1.0,,,,
138,05/31/24 05:15:00 AM,43.466,20.0,,,,
139,05/31/24 05:30:00 AM,43.099,53.0,,,,
140,05/31/24 05:45:00 AM,43.466,95.0,,,,
141,05/31/24 06:00:00 AM,45.286,168.0,,,,
142,05/31/24 06:15:00 AM,52.225,768.0,,,,
143,05/31/24 06:30:00 AM,56.750,672.0,,,,
144,05/31/24 06:45:00 AM,64.996,800.0,,,,
145,05/31/24 07:00:00 AM,67.906,800.0,,,,
146,05/31/24 07:15:00 AM,73.407,800.0,,,,
147,05/31/24 07:30:00 AM,74.791,864.0,,,,
148,05/31/24 07:45:00 AM,77.749,1536.0,,,,
149,05/31/24 08:00:00 AM,78.624,896.0,,,,
150,05/31/24 08:15:00 AM,80.206,2688.0,,,,
151,05/31/24 08:30:00 AM,80.029,1152.0,,,,
152,05/31/24 08:45:00 AM,80.559,896.0,,,,
153,05/31/24 09:00:00 AM,82.508,1024.0,,,,
154,05/31/24 09:15:00 AM,83.043,1280.0,,,,
155,05/31/24 09:30:00 AM,84.474,2688.0,,,,
156,05/31/24 09:45:00 AM,86.823,3200.0,,,,
157,05/31/24 10:00:00 AM,86.641,1024.0,,,,
158,05/31/24 10:15:00 AM,92.174,11264.0,,,,
159,05/31/24 10:30:00 AM,95.590,15360.0,,,,
160,05/31/24 10:45:00 AM,89.755,1408.0,,,,
161,05/31/24 11:00:00 AM,86.277,992.0,,,,
162,05/31/24 11:15:00 AM,87.004,3200.0,,,,
163,05/31/24 11:30:00 AM,90.309,1408.0,,,,
164,05/31/24 11:45:00 AM,108.964,12288.0,,,,
165,05/31/24 12:00:00 PM,92.550,960.0,,,,
166,05/31/24 12:15:00 PM,88.833,1216.0,,,,
167,05/31/24 12:30:00 PM,95.976,1216.0,,,,
168,05/31/24 12:45:00 PM,90.680,1536.0,,,,
169,05/31/24 01:00:00 PM,92.363,15360.0,,,,
170,05/31/24 01:15:00 PM,92.550,1088.0,,,,
171,05/31/24 01:30:00 PM,92.737,1280.0,,,,
172,05/31/24 01:45:00 PM,93.115,3584.0,,,,
173,05/31/24 02:00:00 PM,94.633,5632.0,,,,
174,05/31/24 02:15:00 PM,96.555,3072.0,,,,
175,05/31/24 02:30:00 PM,109.396,13312.0,,,,
176,05/31/24 02:45:00 PM,101.484,5376.0,,,,
177,05/31/24 03:00:00 PM,97.525,3200.0,,,,
178,05/31/24 03:15:00 PM,94.825,1344.0,,,,
179,05/31/24 03:30:00 PM,96.361,2048.0,,,,
180,05/31/24 03:45:00 PM,101.887,7680.0,,,,
181,05/31/24 04:00:00 PM,111.580,15872.0,,,,
182,05/31/24 04:15:00 PM,113.814,13824.0,,,,
183,05/31/24 04:30:00 PM,116.330,14336.0,,,,
184,05/31/24 04:45:00 PM,118.441,13312.0,,,,
185,05/31/24 05:00:00 PM,121.338,11776.0,,,,
186,05/31/24 05:15:00 PM,120.848,10752.0,,,,
187,05/31/24 05:30:00 PM,120.848,9216.0,,,,
188,05/31/24 05:45:00 PM,119.158,7680.0,,,,
189,05/31/24 06:00:00 PM,98.503,576.0,,,,
190,05/31/24 06:15:00 PM,89.938,2048.0,,,,
191,05/31/24 06:30:00 PM,91.800,1408.0,,,,
192,05/31/24 06:45:00 PM,86.277,384.0,,,,
193,05/31/24 07:00:00 PM,82.330,200.0,,,,
194,05/31/24 07:15:00 PM,79.678,75.0,,,,
195,05/31/24 07:30:00 PM,76.354,23.0,,,,
196,05/31/24 07:45:00 PM,74.619,1.0,,,,
197,05/31/24 08:00:00 PM,72.199,0.0,,,,
198,05/31/24 08:15:00 PM,68.592,0.0,,,,
199,05/31/24 08:30:00 PM,67.221,0.0,,,,
200,05/31/24 08:45:00 PM,64.139,0.0,,,,
201,05/31/24 09:00:00 PM,61.741,0.0,,,,
202,05/31/24 09:15:00 PM,59.337,0.0,,,,
203,05/31/24 09:30:00 PM,57.785,0.0,,,,
204,05/31/24 09:45:00 PM,56.750,0.0,,,,
205,05/31/24 10:00:00 PM,55.537,0.0,,,,
206,05/31/24 10:15:00 PM,54.495,0.0,,,,
207,05/31/24 10:30:00 PM,53.623,0.0,,,,
208,05/31/24 10:45:00 PM,53.623,0.0,,,,
209,05/31/24 11:00:00 PM,53.100,0.0,,,,
210,05/31/24 11:15:00 PM,52.750,0.0,,,,
211,05/31/24 11:30:00 PM,53.623,0.0,,,,
212,05/31/24 11:45:00 PM,53.798,0.0,,,,
213,06/01/24 12:00:00 AM,53.274,0.0,,,,
214,06/01/24 12:15:00 AM,52.750,0.0,,,,
215,06/01/24 12:30:00 AM,51.874,0.0,,,,
216,06/01/24 12:45:00 AM,51.172,0.0,,,,
217,06/01/24 01:00:00 AM,50.290,0.0,,,,
218,06/01/24 01:15:00 AM,49.582,0.0,,,,
219,06/01/24 01:30:00 AM,49.759,0.0,,,,
220,06/01/24 01:45:00 AM,49.582,0.0,,,,
221,06/01/24 02:00:00 AM,48.339,0.0,,,,
222,06/01/24 02:15:00 AM,47.802,0.0,,,,
223,06/01/24 02:30:00 AM,47.624,0.0,,,,
224,06/01/24 02:45:00 AM,46.728,0.0,,,,
225,06/01/24 03:00:00 AM,45.828,0.0,,,,
226,06/01/24 03:15:00 AM,45.286,0.0,,,,
227,06/01/24 03:30:00 AM,45.466,0.0,,,,
228,06/01/24 03:45:00 AM,45.286,0.0,,,,
229,06/01/24 04:00:00 AM,44.922,0.0,,,,
230,06/01/24 04:15:00 AM,44.195,0.0,,,,
231,06/01/24 04:30:00 AM,43.648,0.0,,,,
232,06/01/24 04:45:00 AM,43.648,0.0,,,,
233,06/01/24 05:00:00 AM,43.648,1.0,,,,
234,06/01/24 05:15:00 AM,43.282,16.0,,,,
235,06/01/24 05:30:00 AM,43.831,45.0,,,,
236,06/01/24 05:45:00 AM,44.195,89.0,,,,
237,06/01/24 06:00:00 AM,44.560,176.0,,,,
238,06/01/24 06:15:00 AM,51.346,704.0,,,,
239,06/01/24 06:30:00 AM,55.017,672.0,,,,
240,06/01/24 06:45:00 AM,62.083,864.0,,,,
241,06/01/24 07:00:00 AM,66.193,800.0,,,,
242,06/01/24 07:15:00 AM,71.683,800.0,,,,
243,06/01/24 07:30:00 AM,73.234,896.0,,,,
244,06/01/24 07:45:00 AM,76.876,1536.0,,,,
245,06/01/24 08:00:00 AM,78.800,896.0,,,,
246,06/01/24 08:15:00 AM,80.735,2560.0,,,,
247,06/01/24 08:30:00 AM,81.090,1088.0,,,,
248,06/01/24 08:45:00 AM,81.266,992.0,,,,
249,06/01/24 09:00:00 AM,83.043,7680.0,,,,
250,06/01/24 09:15:00 AM,83.757,1536.0,,,,
251,06/01/24 09:30:00 AM,85.014,4864.0,,,,
252,06/01/24 09:45:00 AM,88.650,1920.0,,,,
253,06/01/24 10:00:00 AM,86.641,1344.0,,,,
254,06/01/24 10:15:00 AM,93.115,6656.0,,,,
255,06/01/24 10:30:00 AM,97.916,15360.0,,,,
256,06/01/24 10:45:00 AM,91.053,992.0,,,,
257,06/01/24 11:00:00 AM,88.466,960.0,,,,
258,06/01/24 11:15:00 AM,88.466,4352.0,,,,
259,06/01/24 11:30:00 AM,91.987,16384.0,,,,
260,06/01/24 11:45:00 AM,111.360,4096.0,,,,
261,06/01/24 12:00:00 PM,93.304,960.0,,,,
262,06/01/24 12:15:00 PM,90.124,2176.0,,,,
263,06/01/24 12:30:00 PM,96.555,1088.0,,,,
264,06/01/24 12:45:00 PM,91.800,4608.0,,,,
265,06/01/24 01:00:00 PM,93.304,1728.0,,,,
266,06/01/24 01:15:00 PM,92.737,1088.0,,,,
267,06/01/24 01:30:00 PM,91.240,1024.0,,,,
268,06/01/24 01:45:00 PM,93.115,5376.0,,,,
269,06/01/24 02:00:00 PM,94.633,7168.0,,,,
270,06/01/24 02:15:00 PM,96.555,1792.0,,,,
271,06/01/24 02:30:00 PM,104.540,2048.0,,,,
272,06/01/24 02:45:00 PM,98.699,6656.0,,,,
273,06/01/24 03:00:00 PM,96.748,3712.0,,,,
274,06/01/24 03:15:00 PM,94.825,1344.0,,,,
275,06/01/24 03:30:00 PM,97.137,1920.0,,,,
276,06/01/24 03:45:00 PM,102.697,8192.0,,,,
277,06/01/24 04:00:00 PM,110.046,15360.0,,,,
278,06/01/24 04:15:00 PM,113.137,15360.0,,,,
279,06/01/24 04:30:00 PM,118.918,14336.0,,,,
280,06/01/24 04:45:00 PM,119.397,13312.0,,,,
281,06/01/24 05:00:00 PM,119.637,12288.0,,,,
282,06/01/24 05:15:00 PM,114.721,10752.0,,,,
283,06/01/24 05:30:00 PM,116.330,9216.0,,,,
284,06/01/24 05:45:00 PM,113.587,7936.0,,,,
285,06/01/24 06:00:00 PM,96.555,512.0,,,,
286,06/01/24 06:15:00 PM,89.200,1920.0,,,,
287,06/01/24 06:30:00 PM,90.309,1536.0,,,,
288,06/01/24 06:45:00 PM,85.735,448.0,,,,
289,06/01/24 07:00:00 PM,81.797,184.0,,,,
290,06/01/24 07:15:00 PM,79.326,69.0,,,,
291,06/01/24 07:30:00 PM,77.050,21.0,,,,
292,06/01/24 07:45:00 PM,74.271,1.0,,,,
293,06/01/24 08:00:00 PM,71.856,0.0,,,,
294,06/01/24 08:15:00 PM,68.077,0.0,,,,
295,06/01/24 08:30:00 PM,64.652,0.0,,,,
296,06/01/24 08:45:00 PM,62.598,0.0,,,,
297,06/01/24 09:00:00 PM,60.712,0.0,,,,
298,06/01/24 09:15:00 PM,59.680,0.0,,,,
299,06/01/24 09:30:00 PM,58.647,0.0,,,,
300,06/01/24 09:45:00 PM,58.820,0.0,,,,
301,06/01/24 10:00:00 PM,60.024,0.0,,,,
302,06/01/24 10:15:00 PM,59.164,0.0,,,,
303,06/01/24 10:30:00 PM,58.820,0.0,,,,
304,06/01/24 10:45:00 PM,57.268,0.0,,,,
305,06/01/24 11:00:00 PM,56.404,0.0,,,,
306,06/01/24 11:15:00 PM,56.230,0.0,,,,
307,06/01/24 11:30:00 PM,55.711,0.0,,,,
308,06/01/24 11:45:00 PM,54.842,0.0,,,,
309,06/02/24 12:00:00 AM,53.973,0.0,,,,
310,06/02/24 12:15:00 AM,52.750,0.0,,,,
311,06/02/24 12:30:00 AM,50.995,0.0,,,,
312,06/02/24 12:45:00 AM,49.404,0.0,,,,
313,06/02/24 01:00:00 AM,48.339,0.0,,,,
314,06/02/24 01:15:00 AM,47.266,0.0,,,,
315,06/02/24 01:30:00 AM,46.728,0.0,,,,
316,06/02/24 01:45:00 AM,46.008,0.0,,,,
317,06/02/24 02:00:00 AM,45.286,0.0,,,,
318,06/02/24 02:15:00 AM,43.831,0.0,,,,
319,06/02/24 02:30:00 AM,44.013,0.0,,,,
320,06/02/24 02:45:00 AM,44.195,0.0,,,,
321,06/02/24 03:00:00 AM,44.195,0.0,,,,
322,06/02/24 03:15:00 AM,44.195,0.0,,,,
323,06/02/24 03:30:00 AM,44.195,0.0,,,,
324,06/02/24 03:45:00 AM,43.466,0.0,,,,
325,06/02/24 04:00:00 AM,42.548,0.0,,,,
326,06/02/24 04:15:00 AM,42.179,0.0,,,,
327,06/02/24 04:30:00 AM,42.179,0.0,,,,
328,06/02/24 04:45:00 AM,41.994,0.0,,,,
329,06/02/24 05:00:00 AM,41.994,1.0,,,,
330,06/02/24 05:15:00 AM,41.439,15.0,,,,
331,06/02/24 05:30:00 AM,41.625,42.0,,,,
332,06/02/24 05:45:00 AM,41.994,89.0,,,,
333,06/02/24 06:00:00 AM,42.179,176.0,,,,
334,06/02/24 06:15:00 AM,48.160,768.0,,,,
335,06/02/24 06:30:00 AM,52.401,672.0,,,,
336,06/02/24 06:45:00 AM,59.851,960.0,,,,
337,06/02/24 07:00:00 AM,64.310,800.0,,,,
338,06/02/24 07:15:00 AM,70.308,800.0,,,,
339,06/02/24 07:30:00 AM,72.718,960.0,,,,
340,06/02/24 07:45:00 AM,75.484,1536.0,,,,
341,06/02/24 08:00:00 AM,75.659,960.0,,,,
342,06/02/24 08:15:00 AM,77.400,1920.0,,,,
343,06/02/24 08:30:00 AM,77.400,1152.0,,,,
